# packages in environment at /home/jacobsen/.conda/envs/clunio-GWAS:
#
# Name                    Version                   Build  Channel
_libgcc_mutex             0.1                 conda_forge    conda-forge
_openmp_mutex             4.5                       1_gnu    conda-forge
_r-mutex                  1.0.1               anacondar_1    conda-forge
aioeasywebdav             2.4.0           py36h5fab9bb_1001    conda-forge
aiohttp                   3.7.4            py36h8f6f2f9_0    conda-forge
appdirs                   1.4.4              pyh9f0ad1d_0    conda-forge
async-timeout             3.0.1                   py_1000    conda-forge
atk-1.0                   2.36.0               h3371d22_4    conda-forge
attrs                     21.2.0             pyhd8ed1ab_0    conda-forge
backports                 1.0                        py_2    conda-forge
backports.functools_lru_cache 1.6.4              pyhd8ed1ab_0    conda-forge
bbmap                     38.90                he522d1c_1    bioconda
bcrypt                    3.2.0            py36h8f6f2f9_1    conda-forge
beagle                    5.2_21Apr21.304      hdfd78af_0    bioconda
binutils_impl_linux-64    2.35.1               h193b22a_2    conda-forge
binutils_linux-64         2.35                h67ddf6f_30    conda-forge
boto3                     1.17.84            pyhd8ed1ab_0    conda-forge
botocore                  1.20.84            pyhd8ed1ab_0    conda-forge
brotlipy                  0.7.0           py36h8f6f2f9_1001    conda-forge
bwa-mem2                  2.2.1                h9a82719_1    bioconda
bwidget                   1.9.14               ha770c72_0    conda-forge
bzip2                     1.0.8                h7f98852_4    conda-forge
c-ares                    1.17.1               h7f98852_1    conda-forge
ca-certificates           2021.5.30            ha878542_0    conda-forge
cachetools                4.2.2              pyhd8ed1ab_0    conda-forge
cairo                     1.16.0            h6cf1ce9_1008    conda-forge
certifi                   2021.5.30        py36h5fab9bb_0    conda-forge
cffi                      1.14.5           py36hc120d54_0    conda-forge
chardet                   4.0.0            py36h5fab9bb_1    conda-forge
click                     8.0.1            py36h5fab9bb_0    conda-forge
colorama                  0.4.4              pyh9f0ad1d_0    conda-forge
coloredlogs               15.0             py36h5fab9bb_0    conda-forge
colormath                 3.0.0                      py_2    conda-forge
commonmark                0.9.1                      py_0    conda-forge
configargparse            1.4.1              pyhd8ed1ab_0    conda-forge
cryptography              3.4.7            py36hb60f036_0    conda-forge
curl                      7.77.0               hea6ffbf_0    conda-forge
cycler                    0.10.0                     py_2    conda-forge
dataclasses               0.7                pyhe4b4509_6    conda-forge
datrie                    0.8.2            py36h8f6f2f9_2    conda-forge
decorator                 4.4.2                      py_0    conda-forge
docutils                  0.17.1           py36h5fab9bb_0    conda-forge
dropbox                   7.3.1                    py36_0    conda-forge
expat                     2.4.1                h9c3ff4c_0    conda-forge
fastqc                    0.11.9               hdfd78af_1    bioconda
filechunkio               1.6                      py36_0    bioconda
font-ttf-dejavu-sans-mono 2.37                 hab24e00_0    conda-forge
font-ttf-inconsolata      3.000                h77eed37_0    conda-forge
font-ttf-source-code-pro  2.038                h77eed37_0    conda-forge
font-ttf-ubuntu           0.83                 hab24e00_0    conda-forge
